"entrées et plats composés";"salades composées et crudités";"-";"Céleri rémoulade, préemballé";"-";"78,5";"1,12";"4,19";"12,8";"2,38";"1,3";"2,87";"0";"1,08";"7,73";"3,67";"1";"28,6";"616";"0,069";"0,29";"2";"12";"0,11";"35";"315";"< 10";"395";"0,22";"< 2";"< 8";"< 0,5";"3,4";"-";"-";"25,2";"< 0,04";"< 0,04";"0,38";"0,28";"0,19";"28";"< 0,08"
"entrées et plats composés";"salades composées et crudités";"-";"Salade de thon et légumes, appertisée, égouttée";"-";"76,5";"9,15";"7,74";"4,7";"3,08";"4,1";"2,7";"0";"0,56";"1,83";"1,76";"1,11";"20,7";"731";"0,1";"1,1";"2";"25,1";"0,1";"88,4";"232";"-";"445";"0,6";"< 2";"-";"< 0,5";"1,6";"-";"-";"2,75";"< 0,04";"0,053";"4,45";"< 0,16";"0,29";"31";"1,45"
"entrées et plats composés";"salades composées et crudités";"-";"Salade composée avec viande ou poisson, appertisée, égouttée";"-";"76,7";"8,06";"6,4";"5,3";"1,9";"3,3";"2";"0";"0,16";"3,27";"1,54";"0,95";"22";"584";"0,07";"0,7";"< 20";"20";"0,1";"92";"220";"30";"381";"0,38";"< 21";"781";"0,44";"2,04";"9,75";"-";"-";"0,032";"0,022";"4,13";"0,2";"0,12";"11,1";"1,23"
"entrées et plats composés";"salades composées et crudités";"-";"Champignon à la grecque";"-";"84,6";"2,08";"3,95";"3,55";"2,38";"0,28";"2,35";"0";"0,23";"1,74";"1,43";"1,26";"22,6";"-";"0,17";"0,58";"1,91";"13,8";"0,13";"52,2";"292";"1,79";"500";"0,39";"0";"747";"0";"1,47";"-";"-";"10,3";"0,062";"0,2";"1,88";"0,76";"0,11";"27,3";"0,018"
"entrées et plats composés";"salades composées et crudités";"-";"Salade de pommes de terre maison";"-";"76";"2,68";"9,9";"8,2";"-";"-";"1,3";"0";"1,43";"2,48";"3,74";"1,33";"19";"-";"0,12";"0,65";"-";"15";"0,1";"52";"254";"-";"529";"0,31";"29";"36";"0";"-";"-";"-";"10";"0,077";"0,06";"0,89";"0,53";"0,14";"7";"0"
"entrées et plats composés";"salades composées et crudités";"-";"Taboulé ou Salade de couscous, préemballé";"-";"66,4";"4,29";"22,2";"5,65";"3,82";"13";"2,27";"0";"0,6";"3,3";"1,27";"0,91";"19,9";"-";"0,12";"0,72";"2";"27,1";"0,3";"66,5";"207";"< 10";"355";"0,46";"0";"-";"0";"1,68";"-";"-";"14,5";"0,09";"0,04";"0,83";"-";"0,09";"17";"0"
"entrées et plats composés";"salades composées et crudités";"-";"Salade de pomme de terre à la piémontaise, préemballée";"-";"74,9";"4,11";"7,98";"9,28";"1,17";"-";"1,51";"0";"1,15";"4,06";"1,8";"0,97";"-";"-";"-";"-";"7,5";"-";"-";"-";"195";"-";"384";"-";"-";"-";"0,5";"2,07";"-";"-";"7,62";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"salades composées et crudités";"-";"Salade de riz";"-";"72,5";"5,13";"16,1";"4,35";"1";"14,3";"1,7";"0";"0,53";"2,23";"-";"1,1";"23,3";"-";"< 0,1";"0,43";"< 5";"13,1";"0,1";"66,6";"143";"17,7";"431";"0,3";"< 2";"34";"< 0,5";"1,63";"-";"-";"4,48";"0,058";"0,045";"2,65";"0,14";"0,13";"33,5";"0,43"
"entrées et plats composés";"salades composées et crudités";"-";"Salade de pâtes, végétarienne";"-";"73,9";"5,7";"12,9";"8,1";"2,3";"10";"1,7";"0";"2,37";"1,46";"3,92";"0,58";"14";"86";"0,06";"0,6";"4";"11";"0,2";"37";"84";"-";"51";"0,4";"7";"1180";"0";"1,95";"-";"-";"21";"0,04";"0,02";"0,4";"0";"0,09";"16";"0"
"entrées et plats composés";"salades composées et crudités";"-";"Crudité, sans assaisonnement (aliment moyen)";"22,3";"93,7";"1,03";"2,5";"0,53";"2,01";"0,25";"1,51";"0";"0,095";"0,2";"0,13";"0,037";"27,3";"52,6";"0,055";"0,46";"1,92";"13,6";"0,18";"29,4";"257";"3,38";"14,8";"0,19";"0,012";"1770";"0,074";"0,47";"45,3";;"14,6";"0,044";"0,041";"0,53";"0,22";"0,087";"39,3";"0"
"entrées et plats composés";"salades composées et crudités";"-";"Salade de pâtes aux légumes, avec poisson ou viande";"-";"70,3";"5,19";"14";"9,94";"2,16";"7,58";"1,98";"0";"1,74";"5,85";"1,91";"0,95";"18,5";"492";"0,091";"0,69";"3,13";"20";"0,15";"66,2";"177";"5,3";"378";"0,52";"16";"494";"0,23";"0,55";"-";"-";"5,56";"0,069";"0,053";"1,93";"0,24";"0,13";"14,5";"0,23"
"entrées et plats composés";"salades composées et crudités";"-";"Salade César au poulet (salade verte, fromage, croûtons, sauce)";"151";"71,8";"8,13";"4,88";"10";"1,71";"3,17";"2";"0";"2,36";"4,99";"2,09";"0,75";"100";"483";"0,11";"0,5";"< 20";"19";"0,15";"150";"300";"< 20";"301";"0,69";"27,9";"627";"< 0,25";"2,24";"32";"-";"1,11";"0,096";"0,068";"2,29";"0,47";"0,094";"29,3";"0,48"
